Title20,ISO_ABBREV,TITLE,ISSN,ISSUES/YEAR,COUNTRY,LANGUAGE,1ST_YR_PUB,categories,TOT_CITES,CITES_JCR_YR,CITES_JCR_YR1,CITES_JCR_YR2,IF_NUMERATOR,CITES_JCR_YR3,CITES_JCR_YR4,CITES_JCR_YR5,5YR_IF_NUMERATOR,ITEMS_JCR_YR,ITEMS_JCR_YR1,ITEMS_JCR_YR2,IF_DENOMINATOR,ITEMS_JCR_YR3,ITEMS_JCR_YR4,ITEMS_JCR_YR5,5YR_IF_DENOMINATOR,IMPACT_FACTOR,IMMEDIACY_INDEX,CITED_HALF_LIFE,5YR_IMPACT_FACTOR,EIGENFACTOR,NORMEIGENFACTOR,ARTL_INFLUENCE,FREQUENCY,PUBCODE,PUBLISHER_NAME,CATEGORY_CODE,CATEGORY_DESCRIPTION,CATEGORY_RANKING,QUARTILE_RANK,JIF_PERCENTILE
SEMIN CUTAN MED SURG,Semin. Cutan. Med. Surg.,SEMINARS IN CUTANEOUS MEDICINE AND SURGERY,1085-5629,4,USA,ENGLISH,1996,GA YA,948,7,56,96,152,72,112,87,423,53,48,47,95,41,41,39,216,1.600,0.132,6.4,1.958,0.00191,0.21731,0.584,Q,ACT12,FRONTLINE MEDICAL COMMUNICATIONS,GA,DERMATOLOGY,29/61,Q2,53.279
CHEM ERDE-GEOCHEM,Chem Erde-Geochem.,CHEMIE DER ERDE-GEOCHEMISTRY,0009-2819,4,GERMANY (FED REP GER),MULTI-LANGUAGE,1914,GC,919,10,68,91,159,78,80,98,415,35,57,41,98,37,31,43,209,1.622,0.286,6.4,1.986,0.00212,0.24108,0.669,Q,ZX450,"ELSEVIER GMBH, URBAN & FISCHER VERLAG",GC,GEOCHEMISTRY & GEOPHYSICS,41/81,Q3,50
GEOCHIM COSMOCHIM AC,Geochim. Cosmochim. Acta,GEOCHIMICA ET COSMOCHIMICA ACTA,0016-7037,24,USA,MULTI-LANGUAGE,1950,GC,54720,437,2232,2290,4522,2344,2474,2509,11849,415,539,509,1048,450,477,458,2433,4.315,1.053,>10,4.870,0.06872,7.83228,1.868,S,UC250,PERGAMON-ELSEVIER SCIENCE LTD,GC,GEOCHEMISTRY & GEOPHYSICS,8/81,Q1,90.741
GEOFLUIDS,Geofluids,GEOFLUIDS,1468-8115,4,ENGLAND,ENGLISH,2001,GC KY,961,69,44,82,126,47,50,182,405,37,30,42,72,23,28,38,161,1.750,1.865,6.1,2.516,0.00241,0.27492,0.991,Q,FL501,WILEY-BLACKWELL,GC,GEOCHEMISTRY & GEOPHYSICS,39/81,Q2,52.469
J PIPELINE SYST ENG,J. Pipel. Syst. Eng. Pract.,Journal of Pipeline Systems Engineering and Practice,1949-1190,4,USA,ENGLISH,2010,IM ZR,110,5,24,19,43,20,21,20,104,29,24,24,48,15,16,21,100,0.896,0.172,3.3,1.040,0.00056,0.0642,0.372,Q,EC418,ASCE-AMER SOC CIVIL ENGINEERS,IM,"ENGINEERING, CIVIL",70/126,Q3,44.841
J S AFR INST CIV ENG,J. S. Afr. Inst. Civ. Eng.,Journal of the South African Institution of Civil Engineering,1021-2019,3,SOUTH AFRICA,ENGLISH,1959,IM,59,1,2,5,7,11,10,4,32,29,31,30,61,24,12,15,112,0.115,0.034,,0.286,0.00019,0.0218,0.113,T,ABR00,SAICE-SAISI,IM,"ENGINEERING, CIVIL",124/126,Q4,1.984
NAV ENG J,Nav. Eng. J.,NAVAL ENGINEERS JOURNAL,0028-1425,4,USA,ENGLISH,1889,IL IM SI,201,0,4,7,11,6,3,13,33,26,32,38,70,43,40,36,189,0.157,0.000,>10,0.175,0.00022,0.02504,0.077,Q,DK001,AMER SOC NAVAL ENG INC,IM,"ENGINEERING, CIVIL",122/126,Q4,3.571
P I CIVIL ENG-STR B,Proc. Inst. Civil Eng.-Struct. Build.,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-STRUCTURES AND BUILDINGS,0965-0911,6,ENGLAND,ENGLISH,1992,FA IM,504,87,20,25,45,30,34,27,136,71,61,44,105,39,32,37,213,0.429,1.225,6.9,0.638,0.00097,0.11003,0.300,B,ZK502,ICE PUBLISHING,IM,"ENGINEERING, CIVIL",103/126,Q4,18.651
P I CIVIL ENG-TRANSP,Proc. Inst. Civil Eng.-Transp.,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-TRANSPORT,0965-092X,4,ENGLAND,ENGLISH,1992,IM YR,204,52,11,11,22,17,17,17,73,52,35,35,70,30,23,21,144,0.314,1.000,4.6,0.507,0.00034,0.03855,0.155,Q,ZK502,ICE PUBLISHING,IM,"ENGINEERING, CIVIL",111/126,Q4,12.302
ROAD MATER PAVEMENT,Road Mater. Pavement Des.,Road Materials and Pavement Design,1468-0629,4,FRANCE,ENGLISH,2000,FA IM PM,871,12,99,164,263,107,80,94,544,87,77,93,170,72,40,69,351,1.547,0.138,4.7,1.550,0.00232,0.26392,0.436,Q,ZA501,TAYLOR & FRANCIS LTD,IM,"ENGINEERING, CIVIL",38/126,Q2,70.238
TRANSPORT RES B-METH,Transp. Res. Pt. B-Methodol.,TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,0191-2615,12,ENGLAND,ENGLISH,1967,IM PE YR,7358,124,381,565,946,534,700,449,2629,178,125,126,251,101,111,81,544,3.769,0.697,8.6,4.833,0.01274,1.45194,1.548,M,UC250,PERGAMON-ELSEVIER SCIENCE LTD,IM,"ENGINEERING, CIVIL",3/126,Q1,98.016
WATER INT,Water Int.,WATER INTERNATIONAL,0250-8060,7,USA,ENGLISH,1975,IM ZR,1093,36,60,71,131,52,92,61,336,57,62,64,126,57,65,47,295,1.040,0.632,>10,1.139,0.00104,0.11827,0.233,B,VQ835,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",IM,"ENGINEERING, CIVIL",61/126,Q2,51.984
J STRUCT BIOL,J. Struct. Biol.,JOURNAL OF STRUCTURAL BIOLOGY,1047-8477,12,USA,ENGLISH,1990,CQ DA DR,8446,82,367,481,848,802,686,624,2960,171,160,170,330,211,223,201,965,2.570,0.480,8.4,3.067,0.02554,2.91115,1.750,M,AH001,ACADEMIC PRESS INC ELSEVIER SCIENCE,DA,BIOPHYSICS,31/72,Q2,57.639
NMR BIOMED,NMR Biomed.,NMR IN BIOMEDICINE,0952-3480,12,ENGLAND,ENGLISH,1988,DA VY XQ,5917,88,383,667,1050,503,630,444,2627,181,164,188,352,151,153,123,779,2.983,0.486,6.8,3.372,0.01483,1.68989,1.259,M,FL501,WILEY-BLACKWELL,DA,BIOPHYSICS,26/72,Q2,64.583
PROG BIOPHYS MOL BIO,Prog. Biophys. Mol. Biol.,PROGRESS IN BIOPHYSICS & MOLECULAR BIOLOGY,0079-6107,9,ENGLAND,ENGLISH,1950,CQ DA,3435,96,181,139,320,146,384,143,993,104,68,56,124,57,110,42,333,2.581,0.923,9.3,2.982,0.00497,0.56604,0.986,M,UC250,PERGAMON-ELSEVIER SCIENCE LTD,DA,BIOPHYSICS,30/72,Q2,59.028
ANN MICROBIOL,Ann. Microbiol.,ANNALS OF MICROBIOLOGY,1590-4261,4,ITALY,ENGLISH,1940,DB QU,1658,43,249,229,478,261,174,184,1097,246,203,185,388,212,125,99,824,1.232,0.175,4.3,1.331,0.00352,0.4015,0.283,Q,YK501,SPRINGER,DB,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,126/161,Q4,22.05
BIOCONTROL SCI,Biocontrol Sci.,BIOCONTROL SCIENCE,1342-4815,2,JAPAN,ENGLISH,1996,DB,225,2,15,27,42,30,36,18,126,39,31,31,62,25,23,25,135,0.677,0.051,5.1,0.933,0.00048,0.05525,0.237,H,AAK70,"SOC ANTIBACTERIAL & ANTIFUNGAL AGENTS, JAPAN",DB,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,147/161,Q4,9.006
BIOFOULING,Biofouling,BIOFOULING,0892-7014,10,ENGLAND,ENGLISH,1988,DB PI,3173,33,296,334,630,316,402,326,1674,67,108,102,210,91,94,94,489,3.000,0.493,5.6,3.423,0.00567,0.64653,0.767,M,ZA501,TAYLOR & FRANCIS LTD,DB,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,49/161,Q2,69.876
BIOMED RES INT,Biomed Res. Int.,Biomed Research International,2314-6133,0,USA,ENGLISH,2001,DB QA,13089,964,6793,5204,11997,47,18,23,12085,3179,3546,2077,5623,0,0,0,5623,2.134,0.303,1.8,2.149,0.04502,5.13087,0.529,I,LM755,HINDAWI PUBLISHING CORP,DB,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,82/161,Q3,49.379
BIOPHARM INT,Biopharm. Int.,BIOPHARM INTERNATIONAL,1542-166X,12,USA,ENGLISH,2003,DB TU,239,10,9,14,23,19,19,21,82,71,55,72,127,74,66,69,336,0.181,0.141,7,0.244,0.00027,0.0309,0.053,M,IY518,ADVANSTAR COMMUNICATIONS INC,DB,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,160/161,Q4,0.932
BIOTECH HISTOCHEM,Biotech. Histochem.,BIOTECHNIC & HISTOCHEMISTRY,1052-0295,6,ENGLAND,ENGLISH,1926,DB DR,781,20,51,87,138,72,30,33,273,72,75,53,128,71,47,32,278,1.078,0.278,8.7,0.982,0.00102,0.11669,0.244,B,ZA463,TAYLOR & FRANCIS INC,DB,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,134/161,Q4,17.081
BIOTECHNOL BIOENG,Biotechnol. Bioeng.,BIOTECHNOLOGY AND BIOENGINEERING,0006-3592,12,USA,ENGLISH,1958,DB,24360,314,1072,1304,2376,1620,1294,1322,6612,266,247,313,560,322,305,318,1505,4.243,1.180,9.7,4.393,0.02609,2.97368,1.146,M,FL501,WILEY-BLACKWELL,DB,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,24/161,Q1,85.404
LANGMUIR,Langmuir,LANGMUIR,0743-7463,24,USA,ENGLISH,1985,DY EI PM,115942,1072,6456,8465,14921,9722,8907,10466,44016,1601,1850,1887,3737,2119,1936,2664,10456,3.993,0.670,7.6,4.210,0.16480,18.78409,1.042,S,BO001,AMER CHEMICAL SOC,DY,"CHEMISTRY, MULTIDISCIPLINARY",35/163,Q1,78.834
MOL DIVERS,Mol. Divers.,MOLECULAR DIVERSITY,1381-1991,4,NETHERLANDS,ENGLISH,1995,DW DX DY,1426,32,118,169,287,131,226,188,832,72,69,69,138,75,94,86,393,2.080,0.444,5.2,2.117,0.00226,0.25705,0.379,Q,PA269,SPRINGER,DY,"CHEMISTRY, MULTIDISCIPLINARY",68/163,Q2,58.589
NANOTECHNOL REV,Nanotechnol. Rev.,Nanotechnology Reviews,2191-9089,6,GERMANY (FED REP GER),ENGLISH,2012,DY NS PM UB,195,11,53,86,139,44,0,0,183,40,33,35,68,31,0,0,99,2.044,0.275,2.4,1.848,0.00066,0.07554,0.443,B,ZY701,WALTER DE GRUYTER GMBH,DY,"CHEMISTRY, MULTIDISCIPLINARY",70/163,Q2,57.362
RSC ADV,RSC Adv.,RSC Advances,2046-2069,48,ENGLAND,ENGLISH,2011,DY,56444,8707,25166,13401,38567,7963,1164,2,47696,12871,8433,3292,11725,1729,233,0,13687,3.289,0.676,1.8,3.485,0.12993,14.80977,0.628,W,VX250,ROYAL SOC CHEMISTRY,DY,"CHEMISTRY, MULTIDISCIPLINARY",49/163,Q2,70.245
RUSS CHEM B+,Russ. Chem. Bull.,RUSSIAN CHEMICAL BULLETIN,1066-5285,12,RUSSIA,ENGLISH,1993,DY,3539,30,157,278,435,268,256,194,1153,181,388,363,751,312,382,340,1785,0.579,0.166,9,0.646,0.00327,0.37284,0.121,M,YK501,SPRINGER,DY,"CHEMISTRY, MULTIDISCIPLINARY",139/163,Q4,15.031
SAR QSAR ENVIRON RES,SAR QSAR Environ. Res.,SAR AND QSAR IN ENVIRONMENTAL RESEARCH,1062-936X,12,ENGLAND,ENGLISH,1993,DY EV JA MC YO,840,18,88,115,203,54,57,47,361,56,53,54,107,40,39,42,228,1.897,0.321,6.5,1.583,0.00107,0.12246,0.312,M,ZA501,TAYLOR & FRANCIS LTD,DY,"CHEMISTRY, MULTIDISCIPLINARY",76/163,Q2,53.681
GEOSTAND GEOANAL RES,Geostand. Geoanal. Res.,GEOSTANDARDS AND GEOANALYTICAL RESEARCH,1639-4488,4,ENGLAND,ENGLISH,2004,GC,1188,22,90,86,176,76,136,96,484,33,31,30,61,23,30,31,145,2.885,0.667,7,3.338,0.00268,0.30498,1.220,Q,FL501,WILEY-BLACKWELL,GC,GEOCHEMISTRY & GEOPHYSICS,20/81,Q1,75.926
LITHOS,Lithos,LITHOS,0024-4937,28,NORWAY,ENGLISH,1968,GC RE,14107,210,946,1180,2126,1533,931,1189,5779,272,322,249,571,276,201,198,1246,3.723,0.772,6.8,4.638,0.02615,2.98065,1.388,F,JM901,ELSEVIER SCIENCE BV,GC,GEOCHEMISTRY & GEOPHYSICS,11/81,Q1,87.037
MAR GEOD,Mar. Geod.,MARINE GEODESY,0149-0419,4,USA,ENGLISH,1977,GC SI SR,684,19,24,22,46,66,35,108,255,69,23,24,47,48,30,51,176,0.979,0.275,6.9,1.449,0.00138,0.15739,0.519,Q,ZA463,TAYLOR & FRANCIS INC,GC,GEOCHEMISTRY & GEOPHYSICS,56/81,Q3,31.481
MINER PETROL,Mineral. Petrol.,MINERALOGY AND PETROLOGY,0930-0708,6,AUSTRIA,ENGLISH,1987,GC RE,1601,15,49,82,131,51,72,93,347,55,51,60,111,46,36,55,248,1.180,0.273,>10,1.399,0.00181,0.20586,0.482,B,YK511,SPRINGER WIEN,GC,GEOCHEMISTRY & GEOPHYSICS,53/81,Q3,35.185
NONLINEAR PROC GEOPH,Nonlinear Process Geophys.,NONLINEAR PROCESSES IN GEOPHYSICS,1023-5809,6,GERMANY (FED REP GER),ENGLISH,1994,GC QQ,1714,8,110,133,243,99,174,127,643,56,87,97,184,60,83,66,393,1.321,0.143,7.8,1.636,0.00444,0.50662,0.748,B,ABO37,COPERNICUS GESELLSCHAFT MBH,GC,GEOCHEMISTRY & GEOPHYSICS,48/81,Q3,41.358
SUBST ABUS,Subst. Abus.,Substance Abuse,0889-7077,4,USA,ENGLISH,1980,GM,894,39,117,138,255,113,48,45,461,66,53,46,99,47,24,25,195,2.576,0.591,4.8,2.364,0.00248,0.28223,0.840,Q,VQ835,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",GM,SUBSTANCE ABUSE,8/18,Q2,58.333
ENERG EFFIC,Energy Effic.,Energy Efficiency,1570-646X,4,NETHERLANDS,ENGLISH,2008,GS ID,470,7,67,62,129,63,59,46,297,76,64,45,109,39,38,22,208,1.183,0.092,4.6,1.428,0.00151,0.17189,0.479,Q,PA269,SPRINGER,GS,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,25/29,Q4,15.517
ENERGY SUSTAIN DEV,Energy Sustain Dev.,Energy for Sustainable Development,0973-0826,4,INDIA,ENGLISH,1994,GS ID,1495,26,195,207,402,173,185,201,961,76,91,78,169,61,53,42,325,2.379,0.342,4.8,2.957,0.00380,0.43263,0.772,Q,JM901,ELSEVIER SCIENCE BV,GS,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,14/29,Q2,53.448
INT J PR ENG MAN-GT,Int. J. Precis Eng Manuf-Green Technol.,International Journal of Precision Engineering and Manufacturing-Green Technology,2288-6206,4,SOUTH KOREA,ENGLISH,2014,GS IK IU,129,17,112,0,112,0,0,0,112,45,44,0,44,0,0,0,44,2.545,0.378,1.4,2.545,0.00032,0.03636,0.479,Q,ABS95,KOREAN SOC PRECISION ENG,GS,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,12/29,Q2,60.345
J CLEAN PROD,J. Clean Prod.,JOURNAL OF CLEANER PRODUCTION,0959-6526,30,USA,ENGLISH,1993,GS IH JA,19373,1192,3272,3745,7017,1996,1352,1396,11761,1167,801,614,1415,343,230,225,2213,4.959,1.021,3.7,5.315,0.02788,3.17809,0.833,F,JM451,ELSEVIER SCI LTD,GS,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,5/29,Q1,84.483
ARCH ACOUST,Arch. Acoust.,Archives of Acoustics,0137-5075,4,POLAND,ENGLISH,1976,AA,325,4,45,39,84,54,29,27,194,60,65,62,127,62,60,51,300,0.661,0.067,4.7,0.647,0.00079,0.08963,0.173,Q,ACT01,"POLSKA AKAD NAUK, POLISH ACAD SCIENCES, INST FUNDAMENTAL TE",AA,ACOUSTICS,25/32,Q4,23.438
IEEE T ULTRASON FERR,IEEE Trans. Ultrason. Ferroelectr. Freq. Control,IEEE TRANSACTIONS ON ULTRASONICS FERROELECTRICS AND FREQUENCY CONTROL,0885-3010,12,USA,ENGLISH,1986,AA IQ,8847,123,483,608,1091,637,639,579,2946,193,204,273,477,303,299,314,1393,2.287,0.637,8.6,2.115,0.01227,1.39839,0.582,M,LT560,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,AA,ACOUSTICS,5/32,Q1,85.938
ANNU REV CONTROL,Annu. Rev. Control,ANNUAL REVIEWS IN CONTROL,1367-5788,2,USA,ENGLISH,1997,AC,1073,2,44,54,98,189,71,79,437,31,20,28,48,28,21,24,121,2.042,0.065,7,3.612,0.00281,0.32058,1.537,H,UC250,PERGAMON-ELSEVIER SCIENCE LTD,AC,AUTOMATION & CONTROL SYSTEMS,17/59,Q2,72.034
IEEE T AUTOM SCI ENG,IEEE Trans. Autom. Sci. Eng.,IEEE Transactions on Automation Science and Engineering,1545-5955,4,USA,ENGLISH,2004,AC,1953,90,262,350,612,226,232,248,1318,134,119,108,227,72,82,96,477,2.696,0.672,4.2,2.763,0.00745,0.84866,1.032,Q,LT560,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,AC,AUTOMATION & CONTROL SYSTEMS,8/59,Q1,87.288
INT J ADV MANUF TECH,Int. J. Adv. Manuf. Technol.,INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,0268-3768,18,ENGLAND,ENGLISH,1985,AC IK,12461,186,1399,1972,3371,1281,1236,1298,7186,1072,967,1183,2150,633,624,645,4052,1.568,0.174,5.1,1.773,0.02237,2.54981,0.365,S,YK505,SPRINGER LONDON LTD,AC,AUTOMATION & CONTROL SYSTEMS,28/59,Q2,53.39
INTELL AUTOM SOFT CO,Intell. Autom. Soft Comput.,INTELLIGENT AUTOMATION AND SOFT COMPUTING,1079-8587,4,USA,ENGLISH,1995,AC EP,186,6,9,25,34,33,28,24,119,47,43,54,97,93,92,102,384,0.351,0.128,4.7,0.310,0.00037,0.04166,0.063,Q,ZA463,TAYLOR & FRANCIS INC,AC,AUTOMATION & CONTROL SYSTEMS,54/59,Q4,9.322
J DYN CONTROL SYST,J. Dyn. Control Syst.,JOURNAL OF DYNAMICAL AND CONTROL SYSTEMS,1079-2724,4,USA,ENGLISH,1996,AC PN,306,3,15,12,27,26,16,21,90,33,32,32,64,29,23,29,145,0.422,0.091,9.2,0.621,0.00108,0.12296,0.492,Q,OY668,SPRINGER/PLENUM PUBLISHERS,AC,AUTOMATION & CONTROL SYSTEMS,53/59,Q4,11.017
CRIT REV EUKAR GENE,Crit. Rev. Eukaryot. Gene Expr.,CRITICAL REVIEWS IN EUKARYOTIC GENE EXPRESSION,1045-4403,3,USA,ENGLISH,1990,DB KM,810,5,35,53,88,64,78,64,294,34,25,28,53,28,24,22,127,1.660,0.147,7.2,2.315,0.00127,0.14504,0.663,T,FE858,BEGELL HOUSE INC,DB,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,102/161,Q3,36.957
DIS MARKERS,Dis. Markers,DISEASE MARKERS,0278-0240,6,NETHERLANDS,ENGLISH,1983,DB KM QA TM,1953,47,239,432,671,161,197,148,1177,233,146,168,314,81,80,70,545,2.137,0.202,4.5,2.160,0.00446,0.50871,0.542,B,LM755,HINDAWI PUBLISHING CORP,DB,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,81/161,Q3,50
ELECTRON J BIOTECHN,Electron. J. Biotechnol.,ELECTRONIC JOURNAL OF BIOTECHNOLOGY,0717-3458,6,CHILE,ENGLISH,1998,DB,1144,22,82,92,174,49,76,119,418,78,51,73,124,68,71,79,342,1.403,0.282,7.9,1.222,0.00139,0.15805,0.268,B,ZU185,UNIV CATOLICA DE VALPARAISO,DB,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,120/161,Q3,25.776
FOOD BIOTECHNOL,Food Biotechnol.,FOOD BIOTECHNOLOGY,0890-5436,4,USA,ENGLISH,1987,DB JY,373,4,20,15,35,18,23,25,101,18,21,22,43,23,21,26,113,0.814,0.222,>10,0.894,0.00035,0.03937,0.202,Q,ZA463,TAYLOR & FRANCIS INC,DB,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,143/161,Q4,11.491
J APPL PHYCOL,J. Appl. Phycol.,JOURNAL OF APPLIED PHYCOLOGY,0921-8971,6,NETHERLANDS,ENGLISH,1989,DB PI,6069,102,513,559,1072,552,501,301,2426,236,246,206,452,182,119,99,852,2.372,0.432,7.2,2.847,0.00806,0.91844,0.625,B,PA269,SPRINGER,DB,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,68/161,Q2,58.075
J COMPUT BIOL,J. Comput. Biol.,JOURNAL OF COMPUTATIONAL BIOLOGY,1066-5277,12,USA,ENGLISH,1994,CO DB EV MC XY,2764,18,75,151,226,321,241,165,953,87,71,76,147,95,129,112,483,1.537,0.207,9.5,1.973,0.00755,0.86048,1.034,M,PZ785,"MARY ANN LIEBERT, INC",DB,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,110/161,Q3,31.988
MICROB BIOTECHNOL,Microb. Biotechnol.,Microbial Biotechnology,1751-7907,6,USA,ENGLISH,2008,DB QU,1638,63,182,285,467,242,272,209,1190,103,51,66,117,69,64,53,303,3.991,0.612,4.2,3.927,0.00545,0.62129,1.190,B,FL501,WILEY-BLACKWELL,DB,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,29/161,Q1,82.298
CHROMATOGRAPHIA,Chromatographia,CHROMATOGRAPHIA,0009-5893,12,GERMANY (FED REP GER),ENGLISH,1968,CO EA,4523,40,194,304,498,208,297,326,1329,146,182,192,374,158,277,355,1164,1.332,0.274,9,1.142,0.00430,0.49066,0.245,M,ZX651,SPRINGER HEIDELBERG,EA,"CHEMISTRY, ANALYTICAL",52/75,Q3,31.333
INT J ENVIRON AN CH,Int. J. Environ. Anal. Chem.,INTERNATIONAL JOURNAL OF ENVIRONMENTAL ANALYTICAL CHEMISTRY,0306-7319,15,ENGLAND,ENGLISH,1971,EA JA,1760,22,129,204,333,147,98,101,679,112,114,122,236,132,114,86,568,1.411,0.196,8.1,1.195,0.00206,0.23459,0.240,M,ZA501,TAYLOR & FRANCIS LTD,EA,"CHEMISTRY, ANALYTICAL",48/75,Q3,36.667
